Run_ID,Seed,Model,Train_Set,Test_Set,Adaptation,Accuracy,F1,Precision_Macro,Recall_Macro,Healthy_Recall,Healthy_Precision,Rust_Recall,Rust_Precision,Frogeye_Recall,Frogeye_Precision,Rust_as_Healthy_FN,Frogeye_as_Healthy_FN
convnext_tiny_Baseline,21,convnext_tiny,ASDID,MH,None,0.6865,0.6832,0.6813,0.7844,1.0000,0.8333,0.6031,0.9294,0.7500,0.2812,6,0
convnext_tiny_TENT,21,convnext_tiny,ASDID,MH,TENT,0.8703,0.6387,0.6151,0.6667,1.0000,1.0000,1.0000,0.8452,0.0000,0.0000,0,0
convnext_tiny_EATA,21,convnext_tiny,ASDID,MH,EATA,0.8703,0.6387,0.6151,0.6667,1.0000,1.0000,1.0000,0.8452,0.0000,0.0000,0,0
swin_tiny_Baseline,21,swin_tiny,ASDID,MH,None,0.7622,0.7104,0.6992,0.7406,1.0000,0.9375,0.7634,0.8850,0.4583,0.2750,2,0
swin_tiny_TENT,21,swin_tiny,ASDID,MH,TENT,0.4865,0.5844,0.7142,0.7270,0.9667,1.0000,0.2977,0.9512,0.9167,0.1913,0,0
swin_tiny_EATA,21,swin_tiny,ASDID,MH,EATA,0.8703,0.6387,0.6151,0.6667,1.0000,1.0000,1.0000,0.8452,0.0000,0.0000,0,0
