Method,Labeled Images,F1 Score,Accuracy,F1 Improvement,Relative Gain
Zero-Shot,0,0.7185274086216654,0.7405405405405405,0.0,-
Few-Shot (k=5),15,0.7398907103825136,0.7837837837837838,0.02136330176084822,+3.0%
Few-Shot (k=10),30,0.7456410256410256,0.827027027027027,0.027113617019360214,+3.8%
Few-Shot (k=15),45,0.8073037033224387,0.8702702702702703,0.0887762947007733,+12.4%
